ROWNUM;Region;TariffItem;UnitOfMeasure;StartDate;EndDate;MeasureDeviceAvail;StoveType;ConsumptionTime;ConsumptionTarget;Agency;TariffValue;global_id;
1;"город Москва (за исключением Троицкого и Новомосковского АО)";"Горячее водоснабжение";"руб/куб.м";"01.01.2012";"30.06.2012";"да";"";"";"";"ОАО «МОЭК» и иные, кроме ОАО «Мосэнерго» и ОАО «МТК»";"105.45";"19693618";
2;"город Москва (за исключением Троицкого и Новомосковского АО)";"Водоотведение";"руб/куб.м";"01.01.2012";"30.06.2012";"да";"";"";"";"МГУП «Мосводоканал»";"16.65";"19693667";
3;"город Москва (за исключением Троицкого и Новомосковского АО)";"Газ";"руб/кв.м";"01.07.2012";"31.08.2012";"нет";"";"";"дома с отоплением от газовых нагревателей";"ООО «Газпром межрегионгаз Москва»";"25.61";"19693682";
4;"город Москва (за исключением Троицкого и Новомосковского АО)";"Электроэнергия";"руб/кВт.ч";"01.07.2012";"31.07.2012";"да";"газовая";"с 07:00 по 23:00 ч (двухтарифный учет)";"на бытовые нужды";"ОАО «Мосэнергосбыт»";"4.03";"19693607";
5;"город Москва (за исключением Троицкого и Новомосковского АО)";"Электроэнергия";"руб/кВт.ч";"01.01.2012";"30.06.2012";"да";"газовая";"с 23:00 по 07:00 ч (двухтарифный учет)";"на бытовые нужды";"ОАО «Мосэнергосбыт»";"0.95";"19693669";
6;"город Москва (за исключением Троицкого и Новомосковского АО)";"Электроэнергия";"руб/кВт.ч";"01.01.2012";"30.06.2012";"да";"газовая";"с 21:00 по 23:00 ч (многотарифный учет)";"на бытовые нужды";"ОАО «Мосэнергосбыт»";"3.2";"19693597";
7;"город Москва";"Газ";"руб/куб.м";"11.01.2011";"15.01.2012";"да";"";"";"на приготовление пищи и горячее водоснабжение (подогрев воды при отсутствии централизованного горячего водоснабжения)";"ООО «Мосрегионгаз»";"4.09";"19693595";
8;"город Москва (за исключением Троицкого и Новомосковского АО)";"Газ";"руб/куб.м";"15.01.2012";"30.06.2012";"да/нет";"";"";"на нагрев воды с использованием газового водонагревателя при отсутствии центрального горячего водоснабжения (в отсутствие других направлений использования газа)";"ООО «Газпром межрегионгаз Москва»";"4.09";"19693684";
9;"город Москва (за исключением Троицкого и Новомосковского АО)";"Электроэнергия";"руб/кВт.ч";"01.01.2012";"30.06.2012";"да";"электрическая";"с 17:00 по 21:00 ч (многотарифный учет)";"на бытовые нужды";"ОАО «Мосэнергосбыт»";"2.66";"19693673";
10;"город Москва (за исключением Троицкого и Новомосковского АО)";"Электроэнергия";"руб/кВт.ч";"01.07.2012";"31.07.2012";"да";"электрическая";"с 23:00 по 07:00 ч (двухтарифный учет)";"на бытовые нужды";"ОАО «Мосэнергосбыт»";"0.71";"19693675";
11;"город Москва (за исключением Троицкого и Новомосковского АО)";"Газ";"руб/куб.м";"01.07.2012";"31.12.2012";"да/нет";"";"";"на нагрев воды с использованием газового водонагревателя при отсутствии центрального горячего водоснабжения (в отсутствие других направлений использования газа)";"ООО «Газпром межрегионгаз Москва»";"4.7";"19693624";
12;"город Москва (за исключением Троицкого и Новомосковского АО)";"Газ";"руб/1000 куб.м";"15.01.2012";"30.06.2012";"да/нет";"";"";"на отопление с одновременным использованием газа на другие цели (кроме отопления и (или) выработки электрической энергии с использованием котельных всех типов и (или) иного оборудования, находящихся в общей долевой собственности собственников помещений в многоквартирных домах)";"ООО «Газпром межрегионгаз Москва»";"2930";"19693625";
13;"город Москва (за исключением Троицкого и Новомосковского АО)";"Газ";"руб/куб.м";"01.07.2012";"31.12.2012";"да/нет";"";"";"на приготовление пищи и нагрев воды с использованием газовой плиты (в отсутствие других направлений использования газа)";"ООО «Газпром межрегионгаз Москва»";"4.7";"19693623";
14;"город Москва";"Газ";"руб/куб.м";"11.01.2011";"15.01.2012";"да";"";"";"на отопление жилых помещений, а также в случае использования для учета объема потребленного газа одного прибора учета при одновременном использовании газа по нескольким направлениям его потребления, для которых устанавливаются различные розничные цены";"ООО «Мосрегионгаз»";"2.93";"19693594";
15;"город Москва (за исключением Троицкого и Новомосковского АО)";"Газ";"руб/чел";"01.01.2012";"30.06.2012";"нет";"";"";"при наличии в квартире газовой плиты и отсутствии централизованного горячего водоснабжения и газового водонагревателя";"ООО «Газпром межрегионгаз Москва»";"42.49";"19693680";
16;"город Москва (за исключением Троицкого и Новомосковского АО)";"Электроэнергия";"руб/кВт.ч";"01.07.2012";"31.07.2012";"да";"газовая";"с 10:00 по 17:00 ч (многотарифный учет)";"на бытовые нужды";"ОАО «Мосэнергосбыт»";"3.39";"19693609";
17;"город Москва (за исключением Троицкого и Новомосковского АО)";"Горячее водоснабжение";"руб/куб.м";"01.09.2012";"31.12.2012";"да";"";"";"";"ОАО «Мосэнерго» и ОАО «МТК»";"93.38";"19693620";
18;"город Москва (за исключением Троицкого и Новомосковского АО)";"Электроэнергия";"руб/кВт.ч";"01.07.2012";"31.07.2012";"да";"газовая";"с 23:00 по 07:00 ч (многотарифный учет)";"на бытовые нужды";"ОАО «Мосэнергосбыт»";"1.01";"19693608";
19;"город Москва (за исключением Троицкого и Новомосковского АО)";"Электроэнергия";"руб/кВт.ч";"01.01.2012";"30.06.2012";"да";"электрическая";"с 21:00 по 23:00 ч (многотарифный учет)";"на бытовые нужды";"ОАО «Мосэнергосбыт»";"2.24";"19693603";
20;"город Москва (за исключением Троицкого и Новомосковского АО)";"Электроэнергия";"руб/кВт.ч";"01.01.2012";"30.06.2012";"да";"электрическая";"с 10:00 по 17:00 ч (многотарифный учет)";"на бытовые нужды";"ОАО «Мосэнергосбыт»";"2.24";"19693602";
21;"город Москва (за исключением Троицкого и Новомосковского АО)";"Горячее водоснабжение";"руб/куб.м";"01.07.2012";"31.08.2012";"да";"";"";"";"ОАО «МОЭК» и иные, кроме ОАО «Мосэнерго» и ОАО «МТК»";"111.44";"19693303";
22;"город Москва (за исключением Троицкого и Новомосковского АО)";"Газ";"руб/куб.м";"15.01.2012";"30.06.2012";"да/нет";"";"";"на приготовление пищи и нагрев воды с использованием газовой плиты и нагрев воды с использованием газового водонагревателя при отсутствии центрального горячего водоснабжения (в отсутствие других направлений использования газа)";"ООО «Газпром межрегионгаз Москва»";"4.09";"19693685";
23;"город Москва (за исключением Троицкого и Новомосковского АО)";"Газ";"руб/чел";"01.07.2012";"31.12.2012";"нет";"";"";"при наличии в квартире газовой плиты и газового водонагревателя (при отсутствии централизованного горячего водоснабжения)";"ООО «Газпром межрегионгаз Москва»";"97.76";"19693306";
24;"город Москва (за исключением Троицкого и Новомосковского АО)";"Газ";"руб/куб.м";"01.07.2012";"31.12.2012";"да/нет";"";"";"на приготовление пищи и нагрев воды с использованием газовой плиты и нагрев воды с использованием газового водонагревателя при отсутствии центрального горячего водоснабжения (в отсутствие других направлений использования газа)";"ООО «Газпром межрегионгаз Москва»";"4.7";"19693307";
25;"город Москва (за исключением Троицкого и Новомосковского АО)";"Электроэнергия";"руб/кВт.ч";"01.01.2012";"30.06.2012";"да";"газовая";"с 07:00 по 10:00 ч (многотарифный учет)";"на бытовые нужды";"ОАО «Мосэнергосбыт»";"3.8";"19693299";
26;"город Москва (за исключением Троицкого и Новомосковского АО)";"Отопление";"руб/Гкал";"01.09.2012";"31.12.2012";"да";"";"";"";"ОАО «МОЭК» и иные, кроме ОАО «Мосэнерго» и ОАО «МТК»";"1440.5";"19693302";
27;"город Москва (за исключением Троицкого и Новомосковского АО)";"Водоотведение";"руб/куб.м";"01.09.2012";"31.12.2012";"да";"";"";"";"МГУП «Мосводоканал»";"19";"19693387";
28;"город Москва (за исключением Троицкого и Новомосковского АО)";"Электроэнергия";"руб/кВт.ч";"01.01.2012";"30.06.2012";"да";"газовая";"с 10:00 по 17:00 ч (многотарифный учет)";"на бытовые нужды";"ОАО «Мосэнергосбыт»";"3.2";"19693671";
29;"город Москва (за исключением Троицкого и Новомосковского АО)";"Электроэнергия";"руб/кВт.ч";"01.07.2012";"31.07.2012";"да";"газовая";"с 21:00 по 23:00 ч (многотарифный учет)";"на бытовые нужды";"ОАО «Мосэнергосбыт»";"3.39";"19693674";
30;"город Москва (за исключением Троицкого и Новомосковского АО)";"Электроэнергия";"руб/кВт.ч";"01.07.2012";"31.07.2012";"да";"газовая";"с 07:00 по 10:00 ч (многотарифный учет)";"на бытовые нужды";"ОАО «Мосэнергосбыт»";"4.03";"19693300";
31;"город Москва (за исключением Троицкого и Новомосковского АО)";"Горячее водоснабжение";"руб/куб.м";"01.01.2012";"30.06.2012";"да";"";"";"";"ОАО «Мосэнерго» и ОАО «МТК»";"84.62";"19693678";
32;"город Москва (за исключением Троицкого и Новомосковского АО)";"Газ";"руб/чел";"01.01.2012";"30.06.2012";"нет";"";"";"при наличии в квартире газовой плиты и газового водонагревателя (при отсутствии централизованного горячего водоснабжения)";"ООО «Газпром межрегионгаз Москва»";"84.98";"19693621";
33;"город Москва (за исключением Троицкого и Новомосковского АО)";"Отопление";"руб/Гкал";"01.07.2012";"31.08.2012";"да";"";"";"";"ОАО «Мосэнерго» и ОАО «МТК»";"1034.06";"19693821";
34;"город Москва (за исключением Троицкого и Новомосковского АО)";"Электроэнергия";"руб/кВт.ч";"01.07.2012";"31.07.2012";"да";"электрическая";"с 21:00 по 23:00 ч (многотарифный учет)";"на бытовые нужды";"ОАО «Мосэнергосбыт»";"2.37";"19693612";
35;"город Москва (за исключением Троицкого и Новомосковского АО)";"Электроэнергия";"руб/кВт.ч";"01.01.2012";"30.06.2012";"да";"газовая";"без дифференциации по времени потребления";"на бытовые нужды";"ОАО «Мосэнергосбыт»";"3.79";"19693298";
36;"город Москва (за исключением Троицкого и Новомосковского АО)";"Газ";"руб/чел";"01.07.2012";"31.12.2012";"нет";"";"";"при наличии в квартире газовой плиты и отсутствии централизованного горячего водоснабжения и газового водонагревателя";"ООО «Газпром межрегионгаз Москва»";"48.88";"19693681";
37;"город Москва (за исключением Троицкого и Новомосковского АО)";"Отопление";"руб/Гкал";"01.01.2012";"30.06.2012";"да";"";"";"";"ОАО «МОЭК» и иные, кроме ОАО «Мосэнерго» и ОАО «МТК»";"1325.7";"19693820";
38;"город Москва (за исключением Троицкого и Новомосковского АО)";"Электроэнергия";"руб/кВт.ч";"01.01.2012";"30.06.2012";"да";"газовая";"с 07:00 по 23:00 ч (двухтарифный учет)";"на бытовые нужды";"ОАО «Мосэнергосбыт»";"3.8";"19693596";
39;"город Москва (за исключением Троицкого и Новомосковского АО)";"Электроэнергия";"руб/кВт.ч";"01.07.2012";"31.07.2012";"да";"электрическая";"с 10:00 по 17:00 ч (многотарифный учет)";"на бытовые нужды";"ОАО «Мосэнергосбыт»";"2.37";"19693611";
40;"город Москва (за исключением Троицкого и Новомосковского АО)";"Горячее водоснабжение";"руб/куб.м";"01.09.2012";"31.12.2012";"да";"";"";"";"ОАО «МОЭК» и иные, кроме ОАО «Мосэнерго» и ОАО «МТК»";"116";"19693304";
41;"город Москва (за исключением Троицкого и Новомосковского АО)";"Отопление";"руб/Гкал";"01.09.2012";"31.12.2012";"да";"";"";"";"ОАО «Мосэнерго» и ОАО «МТК»";"1075.43";"19693617";
42;"город Москва (за исключением Троицкого и Новомосковского АО)";"Электроэнергия";"руб/кВт.ч";"01.01.2012";"30.06.2012";"да";"электрическая";"с 07:00 по 10:00 ч (многотарифный учет)";"на бытовые нужды";"ОАО «Мосэнергосбыт»";"2.66";"19693604";
43;"город Москва (за исключением Троицкого и Новомосковского АО)";"Водоотведение";"руб/куб.м";"01.07.2012";"31.08.2012";"да";"";"";"";"МГУП «Мосводоканал»";"18.2";"19693668";
44;"город Москва (за исключением Троицкого и Новомосковского АО)";"Электроэнергия";"руб/кВт.ч";"01.07.2012";"31.07.2012";"да";"газовая";"с 23:00 по 07:00 ч (двухтарифный учет)";"на бытовые нужды";"ОАО «Мосэнергосбыт»";"1.01";"19693606";
45;"город Москва (за исключением Троицкого и Новомосковского АО)";"Электроэнергия";"руб/кВт.ч";"01.01.2012";"30.06.2012";"да";"электрическая";"с 23:00 по 07:00 ч (многотарифный учет)";"на бытовые нужды";"ОАО «Мосэнергосбыт»";"0.67";"19693672";
46;"город Москва (за исключением Троицкого и Новомосковского АО)";"Газ";"руб/чел";"01.07.2012";"31.12.2012";"нет";"";"";"при наличии в квартире газовой плиты и централизованного горячего водоснабжения";"ООО «Газпром межрегионгаз Москва»";"39.01";"19693305";
47;"город Москва (за исключением Троицкого и Новомосковского АО)";"Электроэнергия";"руб/кВт.ч";"01.07.2012";"31.07.2012";"да";"электрическая";"с 23:00 по 07:00 ч (многотарифный учет)";"на бытовые нужды";"ОАО «Мосэнергосбыт»";"0.71";"19693677";
48;"город Москва (за исключением Троицкого и Новомосковского АО)";"Электроэнергия";"руб/кВт.ч";"01.07.2012";"31.07.2012";"да";"электрическая";"с 07:00 по 10:00 ч (многотарифный учет)";"на бытовые нужды";"ОАО «Мосэнергосбыт»";"2.82";"19693613";
49;"город Москва (за исключением Троицкого и Новомосковского АО)";"Электроэнергия";"руб/кВт.ч";"01.01.2012";"30.06.2012";"да";"электрическая";"с 07:00 по 23:00 ч (двухтарифный учет)";"на бытовые нужды";"ОАО «Мосэнергосбыт»";"2.66";"19693601";
50;"город Москва (за исключением Троицкого и Новомосковского АО)";"Электроэнергия";"руб/кВт.ч";"01.01.2012";"30.06.2012";"да";"газовая";"с 23:00 по 07:00 ч (многотарифный учет)";"на бытовые нужды";"ОАО «Мосэнергосбыт»";"0.95";"19693670";
51;"город Москва (за исключением Троицкого и Новомосковского АО)";"Горячее водоснабжение";"руб/куб.м";"01.07.2012";"31.08.2012";"да";"";"";"";"ОАО «Мосэнерго» и ОАО «МТК»";"89.68";"19693619";
52;"город Москва (за исключением Троицкого и Новомосковского АО)";"Газ";"руб/кв.м";"01.01.2012";"30.06.2012";"нет";"";"";"дома с отоплением от газовых нагревателей";"ООО «Газпром межрегионгаз Москва»";"22.27";"19693622";
53;"город Москва (за исключением Троицкого и Новомосковского АО)";"Твердое топливо";"руб/т";"01.01.2012";"31.12.2012";"нет";"";"";"твердое топливо (уголь), поставляемое населению, проживающему в домах с печным отоплением";"ОАО «Мосгаз»";"1126";"19693629";
54;"город Москва (за исключением Троицкого и Новомосковского АО)";"Отопление";"руб/Гкал";"01.01.2012";"30.06.2012";"да";"";"";"";"ОАО «Мосэнерго» и ОАО «МТК»";"989.53";"19693616";
55;"город Москва (за исключением Троицкого и Новомосковского АО)";"Холодное водоснабжение";"руб/куб.м";"01.07.2012";"31.08.2012";"да";"";"";"";"МГУП «Мосводоканал»";"25.61";"19693807";
56;"город Москва (за исключением Троицкого и Новомосковского АО)";"Электроэнергия";"руб/кВт.ч";"01.01.2012";"30.06.2012";"да";"газовая";"с 17:00 по 21:00 ч (многотарифный учет)";"на бытовые нужды";"ОАО «Мосэнергосбыт»";"3.8";"19693598";
57;"город Москва (за исключением Троицкого и Новомосковского АО)";"Электроэнергия";"руб/кВт.ч";"01.07.2012";"31.07.2012";"да";"газовая";"без дифференциации по времени потребления";"на бытовые нужды";"ОАО «Мосэнергосбыт»";"4.02";"19693605";
58;"город Москва (за исключением Троицкого и Новомосковского АО)";"Электроэнергия";"руб/кВт.ч";"01.01.2012";"30.06.2012";"да";"электрическая";"с 23:00 по 07:00 ч (двухтарифный учет)";"на бытовые нужды";"ОАО «Мосэнергосбыт»";"0.67";"19693600";
59;"город Москва (за исключением Троицкого и Новомосковского АО)";"Электроэнергия";"руб/кВт.ч";"01.07.2012";"31.07.2012";"да";"электрическая";"без дифференциации по времени потребления";"на бытовые нужды";"ОАО «Мосэнергосбыт»";"2.81";"19693610";
60;"город Москва (за исключением Троицкого и Новомосковского АО)";"Газ";"руб/1000 куб.м";"01.07.2012";"31.12.2012";"да/нет";"";"";"на отопление с одновременным использованием газа на другие цели (кроме отопления и (или) выработки электрической энергии с использованием котельных всех типов и (или) иного оборудования, находящихся в общей долевой собственности собственников помещений в многоквартирных домах)";"ООО «Газпром межрегионгаз Москва»";"3370";"19693626";
61;"город Москва (за исключением Троицкого и Новомосковского АО)";"Холодное водоснабжение";"руб/куб.м";"01.01.2012";"30.06.2012";"да";"";"";"";"МГУП «Мосводоканал»";"23.31";"19693806";
62;"город Москва (за исключением Троицкого и Новомосковского АО)";"Газ";"руб/1000 куб.м";"15.01.2012";"30.06.2012";"да/нет";"";"";"на отопление и (или) выработку электрической энергии с использованием котельных всех типов и (или) иного оборудования, находящихся в общей долевой собственности собственников помещений в многоквартирных домах";"ООО «Газпром межрегионгаз Москва»";"2930";"19693627";
63;"город Москва (за исключением Троицкого и Новомосковского АО)";"Холодное водоснабжение";"руб/куб.м";"01.09.2012";"31.12.2012";"да";"";"";"";"МГУП «Мосводоканал»";"26.75";"19693297";
64;"город Москва (за исключением Троицкого и Новомосковского АО)";"Газ";"руб/1000 куб.м";"01.07.2012";"31.12.2012";"да/нет";"";"";"на отопление и (или) выработку электрической энергии с использованием котельных всех типов и (или) иного оборудования, находящихся в общей долевой собственности собственников помещений в многоквартирных домах";"ООО «Газпром межрегионгаз Москва»";"3370";"19693628";
65;"город Москва (за исключением Троицкого и Новомосковского АО)";"Отопление";"руб/Гкал";"01.07.2012";"31.08.2012";"да";"";"";"";"ОАО «МОЭК» и иные, кроме ОАО «Мосэнерго» и ОАО «МТК»";"1385.32";"19693615";
66;"город Москва (за исключением Троицкого и Новомосковского АО)";"Газ";"руб/чел";"01.01.2012";"30.06.2012";"нет";"";"";"при наличии в квартире газовой плиты и централизованного горячего водоснабжения";"ООО «Газпром межрегионгаз Москва»";"33.91";"19693679";
67;"город Москва (за исключением Троицкого и Новомосковского АО)";"Электроэнергия";"руб/кВт.ч";"01.07.2012";"31.07.2012";"да";"газовая";"с 17:00 по 21:00 ч (многотарифный учет)";"на бытовые нужды";"ОАО «Мосэнергосбыт»";"4.03";"19693301";
68;"город Москва (за исключением Троицкого и Новомосковского АО)";"Электроэнергия";"руб/кВт.ч";"01.01.2012";"30.06.2012";"да";"электрическая";"без дифференциации по времени потребления";"на бытовые нужды";"ОАО «Мосэнергосбыт»";"2.65";"19693599";
69;"город Москва (за исключением Троицкого и Новомосковского АО)";"Электроэнергия";"руб/кВт.ч";"01.07.2012";"31.07.2012";"да";"электрическая";"с 17:00 по 21:00 ч (многотарифный учет)";"на бытовые нужды";"ОАО «Мосэнергосбыт»";"2.82";"19693614";
70;"город Москва (за исключением Троицкого и Новомосковского АО)";"Электроэнергия";"руб/кВт.ч";"01.07.2012";"31.07.2012";"да";"электрическая";"с 07:00 по 23:00 ч (двухтарифный учет)";"на бытовые нужды";"ОАО «Мосэнергосбыт»";"2.82";"19693676";
71;"город Москва (за исключением Троицкого и Новомосковского АО)";"Газ";"руб/куб.м";"15.01.2012";"30.06.2012";"да/нет";"";"";"на приготовление пищи и нагрев воды с использованием газовой плиты (в отсутствие других направлений использования газа)";"ООО «Газпром межрегионгаз Москва»";"4.09";"19693683";
